,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187
Ardahan-75,5192.0,5099.0,39.0,30.0,153.0,116.0,215.0,155.0,379.0,265.0,206.0,239.0,111.0,112.0,112.0,98.0,113.0,126.0,225.0,186.0,248.0,262.0,474.0,431.0,1956.0,1925.0,6859.0,6532.0,600.0,1959.0,46.0,44.0,10.0,15.0,157.0,94.0,1445.0,1181.0,2222.0,2079.0,2396.0,2214.0,1819.0,2056.0,2626.0,2345.0,1978.0,2193.0,2279.0,2199.0,4790.0,4915.0,21.0,,5950.0,4375.0,523.0,913.0,1.0,8.0,12.0,3.0,576.0,329.0,971.0,962.0,967.0,971.0,797.0,913.0,810.0,811.0,430.0,496.0,321.0,349.0,356.0,385.0,310.0,119.0,3940.0,3905.0,1690.0,1776.0,1478.0,1526.0,1384.0,1368.0,1567.0,1550.0,1213.0,1260.0,837.0,945.0,864.0,844.0,559.0,666.0,382.0,397.0,315.0,336.0,268.0,285.0,1268.0,1265.0,2529.0,2336.0,1569.0,1498.0,863.0,868.0,532.0,546.0,269.0,331.0,195.0,202.0,107.0,113.0,131.0,127.0,147.0,152.0,,29.0,85.0,187.0,136.0,203.0,76.0,123.0,48.0,39.0,16.0,26.0,11.0,11.0,8.0,4.0,4.0,8.0,8.0,7.0,2.0,8.0,37.0,54.0,27.0,49.0,22.0,28.0,12.0,17.0,7.0,4.0,9.0,13.0,4.0,3.0,4.0,7.0,8.0,3.0,,,14.0,7.0,33.0,23.0,81.0,65.0,108.0,85.0,111.0,112.0,113.0,80.0,142.0,136.0,302.0,250.0,356.0,373.0,738.0,633.0,4075.0,3910.0
Artvin-8,6981.0,6830.0,32.0,28.0,111.0,80.0,50.0,55.0,97.0,92.0,47.0,47.0,74.0,67.0,69.0,64.0,111.0,111.0,270.0,218.0,422.0,389.0,812.0,741.0,4745.0,4553.0,8229.0,8043.0,528.0,2348.0,31.0,20.0,10.0,18.0,79.0,25.0,1017.0,780.0,1630.0,1431.0,2268.0,2033.0,2616.0,2648.0,4102.0,3606.0,4109.0,4138.0,5437.0,5233.0,13323.0,13307.0,6.0,,8093.0,6071.0,605.0,862.0,4.0,7.0,13.0,4.0,1071.0,490.0,1591.0,1685.0,1778.0,1701.0,2032.0,2101.0,1851.0,1919.0,1175.0,1311.0,806.0,885.0,879.0,918.0,365.0,53.0,7608.0,7668.0,3208.0,3138.0,3676.0,3537.0,3797.0,3729.0,4088.0,4010.0,3354.0,3561.0,2862.0,3063.0,3001.0,2912.0,2097.0,2421.0,1439.0,1546.0,1085.0,1232.0,484.0,463.0,2459.0,2408.0,5103.0,4944.0,3666.0,3622.0,2334.0,2375.0,1534.0,1564.0,1229.0,1298.0,903.0,911.0,634.0,654.0,656.0,677.0,790.0,808.0,,29.0,137.0,306.0,224.0,380.0,191.0,261.0,125.0,140.0,68.0,82.0,47.0,57.0,23.0,27.0,41.0,34.0,29.0,35.0,2.0,26.0,55.0,88.0,63.0,106.0,43.0,53.0,30.0,38.0,17.0,17.0,6.0,7.0,11.0,12.0,10.0,13.0,30.0,10.0,,,4.0,1.0,15.0,8.0,72.0,57.0,65.0,64.0,76.0,82.0,89.0,73.0,107.0,112.0,205.0,164.0,280.0,268.0,521.0,460.0,4463.0,4200.0
Aydın-9,52830.0,52293.0,641.0,496.0,1423.0,1175.0,1481.0,1232.0,2235.0,1952.0,1300.0,1309.0,1187.0,1163.0,1139.0,1080.0,1285.0,1255.0,2255.0,1999.0,2987.0,2847.0,4612.0,4286.0,27966.0,27258.0,56266.0,56855.0,8620.0,19293.0,207.0,320.0,121.0,199.0,1337.0,586.0,15489.0,12711.0,20697.0,19501.0,22874.0,21989.0,24968.0,24627.0,32621.0,30098.0,35565.0,35891.0,34347.0,34773.0,63180.0,66542.0,33.0,,47448.0,36905.0,3590.0,6061.0,14.0,36.0,128.0,34.0,7272.0,3593.0,9138.0,10220.0,8685.0,8867.0,8315.0,9023.0,7178.0,7574.0,4985.0,5570.0,3881.0,4187.0,4790.0,5335.0,2095.0,209.0,37622.0,37925.0,15450.0,16155.0,18202.0,17778.0,19646.0,19795.0,21267.0,21746.0,16176.0,17696.0,12918.0,14140.0,12094.0,12107.0,9938.0,11139.0,6478.0,7090.0,6619.0,7489.0,2311.0,2643.0,12371.0,12587.0,23421.0,23687.0,17932.0,18249.0,15184.0,15754.0,12160.0,12786.0,9705.0,10412.0,7856.0,8276.0,6702.0,6889.0,6231.0,6679.0,6754.0,7493.0,4.0,183.0,721.0,1437.0,1213.0,1858.0,1367.0,1873.0,969.0,1175.0,786.0,900.0,586.0,653.0,334.0,398.0,231.0,265.0,288.0,315.0,22.0,30.0,146.0,199.0,331.0,390.0,393.0,477.0,354.0,400.0,264.0,313.0,120.0,157.0,71.0,86.0,117.0,120.0,325.0,82.0,1.0,,17.0,14.0,160.0,98.0,492.0,398.0,466.0,474.0,456.0,443.0,446.0,417.0,514.0,511.0,824.0,726.0,1111.0,1086.0,1717.0,1568.0,15238.0,14549.0
Balıkesir-10,51674,51440,573,478,1254,1007,1111,985,1606,1426,881,900,807,746,870,837,1048,1012,1953,1692,2954,2794,5123,4512,30745,29957,58014,57729,5778,18020,276,343,98,193,1035,479,14336,11459,20795,19182,25782,24615,31001,30100,40074,37637,44093,44486,43793,42995,87764,91808,22,1,50873,40370,3350,6095,15,48,97,17,7589,3734,11051,11875,11088,11309,10660,11177,9027,9739,6344,6898,5109,5386,7424,8033,4490,217,42785,43961,17337,17863,21263,20444,22794,22894,25271,25490,19993,21388,16369,17568,15275,15343,12645,14082,8060,8710,10424,11230,2776,3156,14168,14268,28127,28582,20931,21826,17491,17995,14131,14989,11020,11753,9196,9568,7926,8154,6914,7424,8283,8804,3,202,658,1416,1274,1996,1550,2058,1041,1312,906,974,624,699,369,422,312,347,418,448,22,44,157,188,324,388,316,369,323,388,228,250,101,128,91,99,155,162,337,95,14,6,64,48,178,119,469,403,501,472,524,503,575,562,656,619,1010,910,1395,1344,2257,1948,18805,17791
Bartın-74,8526.0,8484.0,30.0,29.0,70.0,60.0,102.0,76.0,126.0,117.0,69.0,67.0,69.0,67.0,83.0,76.0,247.0,209.0,637.0,560.0,1271.0,1154.0,2227.0,2047.0,6803.0,6922.0,9604.0,9534.0,1016.0,2986.0,18.0,17.0,7.0,9.0,110.0,40.0,2076.0,1657.0,2800.0,2546.0,3326.0,3104.0,4377.0,4147.0,6185.0,5782.0,7027.0,7053.0,7163.0,7142.0,10557.0,11267.0,3.0,,8865.0,7111.0,422.0,807.0,2.0,4.0,20.0,7.0,1398.0,782.0,1877.0,2097.0,1591.0,1874.0,1432.0,1636.0,1062.0,1251.0,743.0,890.0,570.0,618.0,535.0,658.0,726.0,58.0,8777.0,8882.0,2980.0,3206.0,3183.0,3022.0,3293.0,3379.0,3656.0,3702.0,2549.0,2939.0,1484.0,1733.0,1359.0,1365.0,1065.0,1229.0,676.0,741.0,506.0,629.0,467.0,531.0,2144.0,2139.0,3684.0,3835.0,2824.0,2877.0,2343.0,2340.0,1776.0,1864.0,1305.0,1434.0,823.0,871.0,586.0,591.0,457.0,509.0,408.0,454.0,,33.0,163.0,237.0,241.0,346.0,231.0,281.0,153.0,178.0,122.0,136.0,54.0,64.0,26.0,24.0,15.0,24.0,18.0,22.0,8.0,16.0,58.0,98.0,69.0,93.0,40.0,57.0,35.0,40.0,23.0,34.0,12.0,12.0,6.0,7.0,8.0,9.0,47.0,18.0,,,4.0,1.0,21.0,9.0,95.0,78.0,129.0,129.0,144.0,148.0,155.0,137.0,167.0,173.0,297.0,258.0,510.0,509.0,961.0,851.0,6021.0,5737.0
Batman-72,51822.0,50897.0,2007.0,1460.0,3845.0,3053.0,3695.0,3111.0,5713.0,5308.0,3731.0,3891.0,4017.0,4274.0,3027.0,3073.0,2812.0,3040.0,2726.0,2796.0,1786.0,2001.0,1995.0,1981.0,3773.0,4063.0,56581.0,56755.0,13491.0,23622.0,888.0,1004.0,575.0,675.0,1698.0,1459.0,7606.0,6858.0,10146.0,10399.0,7676.0,7957.0,5634.0,6197.0,5588.0,5530.0,3557.0,3930.0,3337.0,3309.0,4205.0,4641.0,179.0,2.0,38879.0,29593.0,5086.0,8188.0,88.0,177.0,167.0,104.0,3236.0,1479.0,4418.0,4695.0,3475.0,3552.0,2442.0,2866.0,2049.0,2112.0,967.0,1130.0,765.0,799.0,564.0,652.0,2103.0,576.0,18669.0,19398.0,8121.0,8376.0,9184.0,9435.0,8395.0,8297.0,7756.0,8142.0,5141.0,5466.0,3328.0,3699.0,2883.0,2891.0,1432.0,1656.0,985.0,1027.0,747.0,863.0,1183.0,1292.0,6478.0,6764.0,13580.0,14547.0,8185.0,8769.0,5323.0,5514.0,2983.0,3152.0,1676.0,1887.0,1046.0,1145.0,532.0,614.0,419.0,420.0,196.0,253.0,,69.0,184.0,694.0,493.0,865.0,493.0,829.0,235.0,318.0,131.0,153.0,99.0,101.0,48.0,63.0,28.0,26.0,17.0,22.0,6.0,10.0,34.0,71.0,97.0,107.0,79.0,89.0,56.0,75.0,30.0,34.0,13.0,21.0,16.0,18.0,6.0,8.0,65.0,23.0,48.0,18.0,273.0,174.0,697.0,472.0,2093.0,1640.0,2266.0,1879.0,2539.0,2442.0,1852.0,1750.0,2051.0,1950.0,2361.0,2217.0,2140.0,2105.0,3153.0,2892.0,13375.0,13371.0
Bayburt-69,4742.0,4154.0,40.0,57.0,106.0,75.0,92.0,89.0,104.0,78.0,52.0,46.0,44.0,39.0,69.0,52.0,99.0,82.0,226.0,157.0,292.0,243.0,460.0,380.0,1820.0,1649.0,5296.0,4575.0,619.0,1356.0,29.0,34.0,10.0,13.0,116.0,33.0,1119.0,806.0,1479.0,1208.0,1830.0,1423.0,1696.0,1486.0,2243.0,1726.0,1923.0,1601.0,2214.0,1751.0,3693.0,3410.0,8.0,,4853.0,3221.0,321.0,458.0,2.0,8.0,8.0,1.0,529.0,214.0,757.0,673.0,813.0,685.0,744.0,671.0,704.0,590.0,441.0,420.0,307.0,254.0,219.0,222.0,298.0,106.0,7525.0,7520.0,2744.0,2757.0,1870.0,1645.0,1512.0,1393.0,1368.0,1220.0,926.0,877.0,675.0,633.0,709.0,557.0,383.0,386.0,278.0,242.0,196.0,204.0,223.0,273.0,1359.0,1307.0,2385.0,2197.0,1490.0,1379.0,879.0,867.0,565.0,556.0,384.0,354.0,306.0,265.0,156.0,144.0,125.0,113.0,120.0,104.0,1.0,19.0,87.0,164.0,147.0,222.0,93.0,112.0,36.0,38.0,27.0,28.0,18.0,13.0,8.0,8.0,4.0,4.0,8.0,8.0,5.0,18.0,34.0,74.0,32.0,53.0,26.0,24.0,6.0,11.0,7.0,9.0,7.0,6.0,1.0,4.0,9.0,6.0,9.0,3.0,,,7.0,4.0,12.0,7.0,57.0,35.0,44.0,47.0,54.0,43.0,65.0,60.0,63.0,58.0,165.0,116.0,261.0,209.0,494.0,413.0,2706.0,2493.0
Bilecik-11,9916.0,9946.0,61.0,45.0,335.0,214.0,220.0,199.0,293.0,281.0,125.0,124.0,99.0,106.0,84.0,69.0,98.0,113.0,164.0,140.0,187.0,189.0,307.0,276.0,2571.0,2466.0,11132.0,11031.0,909.0,3307.0,100.0,87.0,29.0,47.0,194.0,120.0,2177.0,1752.0,3093.0,2991.0,3519.0,3406.0,4406.0,4322.0,5962.0,5473.0,6936.0,7111.0,6956.0,6936.0,15242.0,15672.0,1.0,,9553.0,7580.0,695.0,1215.0,5.0,12.0,21.0,7.0,1467.0,723.0,2241.0,2502.0,2319.0,2299.0,2045.0,2273.0,1852.0,1950.0,1258.0,1428.0,848.0,922.0,828.0,901.0,781.0,46.0,11125.0,11782.0,4363.0,5052.0,5525.0,5349.0,5924.0,5973.0,5776.0,6033.0,4014.0,4382.0,2919.0,3272.0,2349.0,2443.0,1741.0,1995.0,774.0,886.0,733.0,826.0,619.0,849.0,3381.0,3647.0,6493.0,6707.0,4411.0,4616.0,2795.0,2968.0,2046.0,2125.0,1386.0,1498.0,902.0,974.0,582.0,633.0,555.0,577.0,498.0,574.0,,41.0,208.0,302.0,371.0,481.0,273.0,387.0,173.0,188.0,107.0,128.0,72.0,71.0,26.0,33.0,20.0,20.0,15.0,19.0,6.0,18.0,51.0,83.0,66.0,87.0,50.0,59.0,43.0,56.0,23.0,35.0,11.0,14.0,9.0,9.0,7.0,5.0,67.0,17.0,,,14.0,4.0,33.0,22.0,90.0,74.0,99.0,91.0,92.0,98.0,81.0,76.0,86.0,85.0,143.0,125.0,193.0,185.0,273.0,248.0,3081.0,2904.0
Bingöl-12,17960.0,18054.0,501.0,286.0,1507.0,1179.0,1354.0,1255.0,2302.0,1994.0,1553.0,1651.0,1512.0,1558.0,1371.0,1335.0,1256.0,1395.0,1747.0,1678.0,1237.0,1375.0,1423.0,1441.0,3203.0,3328.0,20509.0,20608.0,3810.0,6896.0,361.0,463.0,130.0,178.0,695.0,435.0,4098.0,3653.0,6197.0,5949.0,5248.0,5164.0,3919.0,4373.0,4289.0,4087.0,2894.0,3177.0,2752.0,2808.0,3796.0,4050.0,168.0,10.0,15021.0,11614.0,1659.0,2863.0,25.0,72.0,54.0,30.0,1696.0,825.0,2588.0,2773.0,2013.0,2148.0,1396.0,1639.0,1135.0,1196.0,577.0,683.0,367.0,419.0,348.0,377.0,1239.0,321.0,10365.0,11550.0,5802.0,6210.0,5974.0,6211.0,4607.0,4723.0,4266.0,4441.0,2748.0,2927.0,1534.0,1867.0,1533.0,1562.0,802.0,946.0,453.0,509.0,475.0,519.0,574.0,606.0,3547.0,3612.0,7739.0,8027.0,4229.0,4592.0,2716.0,2786.0,1410.0,1545.0,859.0,985.0,639.0,675.0,344.0,381.0,271.0,297.0,161.0,185.0,,28.0,187.0,380.0,327.0,543.0,255.0,381.0,115.0,157.0,51.0,67.0,32.0,33.0,10.0,15.0,6.0,9.0,2.0,3.0,3.0,19.0,43.0,86.0,64.0,108.0,43.0,56.0,30.0,37.0,34.0,32.0,9.0,16.0,2.0,3.0,6.0,7.0,17.0,14.0,48.0,14.0,144.0,104.0,252.0,186.0,709.0,477.0,660.0,555.0,757.0,646.0,824.0,653.0,785.0,744.0,1421.0,1175.0,1474.0,1374.0,2112.0,1988.0,9066.0,8884.0
Bitlis-13,29127,28416,1224,746,3799,2965,3143,2777,4241,4044,2162,2277,1983,2149,1677,1548,1526,1668,1928,1864,1282,1456,1597,1572,3102,3202,31722,31266,10211,15034,803,1227,207,325,929,701,4763,4268,6146,6095,5440,5342,4025,4362,4452,4242,2847,3214,2898,2891,3717,3978,181,5,20088,15169,2798,4491,25,97,99,37,1985,964,2702,2902,2304,2295,1638,1868,1407,1437,671,792,549,574,481,531,1130,380,10480,10470,5353,5265,5401,5541,4386,4460,4139,4206,2694,2799,1714,1937,1588,1545,832,970,488,554,367,410,739,773,4151,4075,8231,8371,4386,4408,2558,2719,1390,1457,786,921,613,597,317,367,226,248,115,122,4,33,142,383,281,488,213,278,109,133,49,57,37,31,16,19,10,7,3,5,5,22,32,89,63,104,39,47,13,26,18,24,9,12,4,5,2,6,65,31,60,23,301,161,611,451,1346,1055,1120,1016,1273,1163,1061,958,1127,1074,1543,1394,1400,1445,2341,2140,7835,7794
Bolu-14,13607.0,13562.0,64.0,53.0,160.0,114.0,154.0,110.0,197.0,196.0,121.0,115.0,71.0,81.0,79.0,63.0,121.0,114.0,295.0,266.0,513.0,463.0,1173.0,1026.0,6731.0,6647.0,14592.0,14571.0,1110.0,4344.0,36.0,43.0,14.0,23.0,175.0,70.0,2928.0,2242.0,4407.0,4013.0,5228.0,5014.0,5937.0,5998.0,8609.0,7781.0,8967.0,9389.0,9944.0,9671.0,19568.0,20454.0,13.0,,13006.0,10417.0,723.0,1347.0,4.0,10.0,19.0,4.0,1920.0,971.0,2701.0,2949.0,2605.0,2627.0,2319.0,2579.0,1936.0,2009.0,1252.0,1427.0,1036.0,1095.0,1035.0,1190.0,1107.0,86.0,19419.0,19286.0,7744.0,8005.0,7130.0,7084.0,6652.0,6768.0,6867.0,6927.0,4852.0,5322.0,3432.0,3770.0,2978.0,3050.0,2072.0,2366.0,1272.0,1368.0,1166.0,1333.0,717.0,673.0,4084.0,4276.0,7936.0,8111.0,5882.0,5862.0,4588.0,4728.0,3212.0,3445.0,2201.0,2393.0,1708.0,1704.0,1351.0,1339.0,1257.0,1350.0,1265.0,1440.0,1.0,59.0,323.0,639.0,533.0,832.0,556.0,727.0,315.0,376.0,218.0,235.0,125.0,137.0,75.0,72.0,57.0,61.0,42.0,52.0,10.0,28.0,84.0,115.0,231.0,275.0,184.0,227.0,147.0,211.0,89.0,94.0,47.0,58.0,24.0,36.0,21.0,28.0,88.0,24.0,,,4.0,,28.0,13.0,78.0,56.0,96.0,99.0,103.0,100.0,125.0,104.0,125.0,132.0,271.0,223.0,393.0,384.0,921.0,777.0,7549.0,7212.0
Burdur-15,12178.0,11776.0,132.0,100.0,173.0,136.0,118.0,122.0,194.0,180.0,108.0,103.0,75.0,73.0,97.0,81.0,148.0,127.0,333.0,291.0,603.0,541.0,1122.0,1037.0,6560.0,6379.0,12811.0,12745.0,1730.0,4619.0,37.0,47.0,7.0,16.0,126.0,41.0,2578.0,2032.0,4104.0,3699.0,5363.0,5082.0,6210.0,6117.0,8560.0,7768.0,9234.0,9466.0,9861.0,9645.0,21949.0,22733.0,8.0,,11244.0,8892.0,816.0,1592.0,,2.0,19.0,3.0,1626.0,808.0,2446.0,2639.0,2626.0,2590.0,2370.0,2557.0,2128.0,2258.0,1401.0,1534.0,883.0,1002.0,1008.0,1080.0,1264.0,90.0,15253.0,15944.0,4371.0,5112.0,4572.0,4459.0,4464.0,4579.0,4754.0,4785.0,3285.0,3567.0,2626.0,2874.0,2703.0,2661.0,1789.0,2112.0,935.0,1072.0,835.0,953.0,829.0,999.0,3553.0,4026.0,5851.0,6283.0,4494.0,4524.0,3548.0,3596.0,2791.0,2963.0,1926.0,2050.0,1584.0,1611.0,1300.0,1317.0,1296.0,1358.0,892.0,1047.0,1.0,67.0,168.0,404.0,358.0,565.0,360.0,494.0,254.0,297.0,159.0,183.0,105.0,122.0,65.0,68.0,38.0,41.0,26.0,33.0,9.0,31.0,85.0,160.0,95.0,134.0,97.0,121.0,91.0,116.0,61.0,78.0,8.0,15.0,6.0,13.0,14.0,15.0,187.0,40.0,,,6.0,,24.0,18.0,75.0,62.0,89.0,91.0,123.0,123.0,126.0,116.0,175.0,170.0,250.0,212.0,408.0,378.0,649.0,607.0,4885.0,4619.0
Bursa-16,162557.0,161791.0,1759.0,1362.0,3920.0,3205.0,4328.0,3654.0,6475.0,5817.0,2785.0,2961.0,2224.0,2317.0,2054.0,1969.0,2381.0,2432.0,4295.0,3824.0,5087.0,5051.0,7603.0,7167.0,30324.0,30122.0,168038.0,170834.0,18013.0,53700.0,968.0,1149.0,531.0,731.0,3507.0,2267.0,35461.0,29361.0,51296.0,48159.0,55250.0,53757.0,57263.0,57823.0,71593.0,67109.0,72016.0,73742.0,68096.0,68500.0,119564.0,126124.0,72.0,,143365.0,110158.0,10596.0,16809.0,98.0,194.0,291.0,126.0,23321.0,11667.0,32429.0,35673.0,29696.0,30645.0,25323.0,27914.0,22431.0,23201.0,15458.0,16795.0,13508.0,13967.0,17607.0,19250.0,5038.0,450.0,96824.0,100363.0,45357.0,47050.0,64909.0,62206.0,71831.0,71893.0,76364.0,78207.0,56148.0,60792.0,42032.0,45954.0,34731.0,35375.0,25855.0,28582.0,15213.0,16750.0,14439.0,16380.0,6105.0,6273.0,34841.0,34222.0,72951.0,74345.0,62350.0,64057.0,48203.0,50560.0,33691.0,36523.0,23055.0,25175.0,16425.0,17422.0,11639.0,12253.0,10083.0,10572.0,11566.0,12939.0,7.0,388.0,2221.0,3894.0,4240.0,5989.0,4426.0,5924.0,3075.0,3670.0,2380.0,2675.0,1600.0,1817.0,807.0,955.0,539.0,571.0,694.0,769.0,68.0,52.0,409.0,454.0,722.0,743.0,835.0,906.0,834.0,926.0,634.0,741.0,382.0,445.0,203.0,245.0,338.0,363.0,831.0,253.0,17.0,7.0,153.0,97.0,628.0,392.0,1920.0,1531.0,1777.0,1666.0,1676.0,1667.0,1680.0,1578.0,1976.0,1956.0,3854.0,3320.0,4685.0,4640.0,7838.0,7142.0,44326.0,42815.0
Çanakkale-17,21592.0,21435.0,279.0,220.0,718.0,604.0,438.0,458.0,583.0,539.0,380.0,377.0,342.0,339.0,310.0,284.0,411.0,388.0,618.0,554.0,1092.0,982.0,2030.0,1785.0,15069.0,14433.0,22204.0,22574.0,2090.0,7107.0,148.0,208.0,53.0,63.0,367.0,146.0,5902.0,4680.0,9058.0,8390.0,11148.0,10488.0,13381.0,12999.0,17381.0,16413.0,20064.0,19930.0,20659.0,20272.0,42277.0,44486.0,14.0,,19939.0,15499.0,1508.0,2581.0,7.0,23.0,36.0,10.0,3327.0,1670.0,4449.0,5029.0,4638.0,4772.0,4540.0,4845.0,3811.0,4140.0,2546.0,2827.0,1922.0,2061.0,2366.0,2572.0,1204.0,104.0,25775.0,26730.0,9302.0,10543.0,9390.0,9220.0,9864.0,9908.0,10722.0,11003.0,7702.0,8516.0,6402.0,6836.0,6363.0,6544.0,4772.0,5388.0,2770.0,3082.0,3314.0,3683.0,1364.0,1586.0,7190.0,7784.0,13781.0,14620.0,10936.0,11099.0,8746.0,9088.0,6481.0,6984.0,4587.0,4973.0,3776.0,4082.0,3389.0,3427.0,2672.0,2949.0,3155.0,3495.0,1.0,83.0,504.0,855.0,904.0,1333.0,981.0,1259.0,632.0,785.0,469.0,524.0,329.0,347.0,222.0,233.0,147.0,174.0,155.0,184.0,5.0,20.0,109.0,176.0,275.0,380.0,276.0,322.0,274.0,370.0,160.0,218.0,75.0,95.0,57.0,73.0,64.0,78.0,183.0,64.0,,,17.0,12.0,73.0,50.0,246.0,208.0,252.0,229.0,233.0,246.0,232.0,209.0,235.0,233.0,298.0,275.0,376.0,349.0,537.0,510.0,5227.0,4842.0
Çankırı-18,8433.0,8355.0,93.0,97.0,191.0,189.0,159.0,141.0,148.0,147.0,67.0,68.0,66.0,63.0,68.0,77.0,108.0,98.0,258.0,223.0,445.0,435.0,934.0,821.0,5098.0,4966.0,9060.0,8903.0,1124.0,2955.0,57.0,73.0,29.0,39.0,140.0,51.0,1604.0,1317.0,2263.0,2089.0,2652.0,2479.0,3406.0,3374.0,5442.0,5079.0,5512.0,5826.0,6925.0,6644.0,14217.0,14516.0,5.0,,7635.0,6072.0,495.0,1097.0,2.0,7.0,18.0,5.0,1212.0,599.0,1639.0,1746.0,1574.0,1573.0,1654.0,1758.0,1656.0,1685.0,1048.0,1153.0,965.0,992.0,1091.0,1205.0,847.0,52.0,8618.0,8574.0,3128.0,3477.0,3532.0,3635.0,3493.0,3563.0,3676.0,3682.0,2620.0,2857.0,1910.0,2061.0,1979.0,1867.0,1484.0,1768.0,1023.0,1033.0,946.0,1073.0,527.0,488.0,2229.0,2445.0,3871.0,4152.0,2672.0,2775.0,1993.0,2044.0,1574.0,1630.0,1137.0,1183.0,867.0,919.0,715.0,723.0,646.0,682.0,455.0,556.0,1.0,17.0,135.0,255.0,261.0,373.0,236.0,313.0,175.0,190.0,88.0,90.0,64.0,69.0,33.0,38.0,25.0,21.0,30.0,36.0,3.0,7.0,51.0,83.0,82.0,109.0,54.0,72.0,49.0,63.0,16.0,22.0,8.0,12.0,5.0,9.0,8.0,8.0,43.0,13.0,2.0,1.0,10.0,5.0,23.0,21.0,76.0,66.0,110.0,100.0,98.0,92.0,116.0,106.0,113.0,115.0,290.0,241.0,371.0,371.0,881.0,767.0,6038.0,5758.0
Çorum-19,26467.0,25898.0,188.0,175.0,375.0,293.0,478.0,344.0,715.0,605.0,368.0,366.0,261.0,242.0,327.0,282.0,530.0,500.0,1219.0,1019.0,2031.0,1877.0,4345.0,3824.0,20425.0,20214.0,29308.0,28587.0,3999.0,10011.0,80.0,105.0,34.0,56.0,486.0,182.0,6963.0,5519.0,10159.0,9365.0,11300.0,10758.0,12362.0,12567.0,17663.0,16188.0,16309.0,17130.0,16530.0,16365.0,28413.0,29964.0,14.0,,25548.0,20092.0,2033.0,3661.0,10.0,19.0,37.0,10.0,3660.0,1756.0,5038.0,5373.0,4782.0,4869.0,3974.0,4291.0,3784.0,3912.0,2219.0,2539.0,1794.0,1836.0,1686.0,1891.0,2573.0,141.0,18900.0,18865.0,7704.0,8003.0,8868.0,8459.0,9170.0,9237.0,9444.0,9595.0,6409.0,7110.0,4215.0,4769.0,3946.0,3903.0,2700.0,3120.0,1634.0,1761.0,1438.0,1628.0,1059.0,1075.0,5643.0,5558.0,10158.0,10333.0,7553.0,7604.0,6290.0,6387.0,4549.0,4789.0,3122.0,3421.0,2414.0,2458.0,1715.0,1816.0,1613.0,1713.0,1362.0,1548.0,1.0,55.0,254.0,592.0,550.0,823.0,613.0,822.0,390.0,476.0,245.0,309.0,155.0,158.0,78.0,92.0,55.0,55.0,29.0,37.0,10.0,19.0,71.0,140.0,114.0,183.0,104.0,154.0,107.0,129.0,65.0,77.0,18.0,33.0,24.0,25.0,16.0,19.0,167.0,46.0,,,11.0,8.0,69.0,43.0,189.0,156.0,281.0,252.0,258.0,268.0,298.0,277.0,401.0,381.0,848.0,693.0,1353.0,1298.0,2741.0,2407.0,18582.0,17863.0
Denizli-20,53065.0,52003.0,513.0,474.0,869.0,724.0,855.0,697.0,1424.0,1307.0,672.0,685.0,622.0,652.0,652.0,604.0,843.0,819.0,1385.0,1169.0,2227.0,2069.0,3884.0,3511.0,27121.0,26256.0,56512.0,56940.0,7568.0,19056.0,151.0,231.0,75.0,115.0,901.0,400.0,12970.0,10244.0,19616.0,17939.0,22358.0,21463.0,24159.0,23951.0,30281.0,28004.0,30548.0,31621.0,29483.0,28819.0,52573.0,55589.0,15.0,,47834.0,37545.0,3724.0,6359.0,12.0,33.0,107.0,32.0,8109.0,4027.0,10348.0,11611.0,9208.0,9540.0,8538.0,9229.0,6776.0,7249.0,4120.0,4702.0,2962.0,3208.0,2875.0,3329.0,3696.0,208.0,41148.0,41858.0,16555.0,17542.0,20379.0,19643.0,21553.0,22075.0,23107.0,23746.0,15576.0,17654.0,12086.0,13159.0,10540.0,10843.0,7033.0,8210.0,4135.0,4571.0,3485.0,4064.0,2297.0,2305.0,12004.0,12537.0,23006.0,23750.0,18328.0,18804.0,15727.0,16100.0,11245.0,12286.0,8078.0,8613.0,5896.0,6319.0,4421.0,4524.0,3993.0,4250.0,3833.0,4388.0,3.0,145.0,747.0,1473.0,1434.0,2071.0,1413.0,1858.0,900.0,1129.0,736.0,850.0,448.0,490.0,230.0,264.0,153.0,153.0,139.0,173.0,26.0,41.0,180.0,201.0,376.0,462.0,418.0,474.0,369.0,427.0,237.0,292.0,104.0,132.0,72.0,81.0,54.0,67.0,507.0,128.0,21.0,10.0,49.0,37.0,122.0,93.0,351.0,271.0,389.0,378.0,397.0,370.0,348.0,337.0,390.0,376.0,703.0,600.0,920.0,867.0,1447.0,1336.0,9513.0,9131.0
