e€itim düzeyi;Yaﬂ Aral›€›;Y›l;Adana-1;Ad›yaman-2;Afyonkarahisar-3;A€r›-4;Aksaray-68;Amasya-5;Ankara-6;Antalya-7;Ardahan-75;Artvin-8;Ayd›n-9;Bal›kesir-10;Bart›n-74;Batman-72;Bayburt-69;Bilecik-11;Bingöl-12;Bitlis-13;Bolu-14;Burdur-15;Bursa-16;Çanakkale-17;Çank›r›-18;Çorum-19;Denizli-20;Diyarbak›r-21;Düzce-81;Edirne-22;Elaz›€-23;Erzincan-24;Erzurum-25;Eskiﬂehir-26;Gaziantep-27;Giresun-28;Gümüﬂhane-29;Hakkari-30;Hatay-31;I€d›r-76;Isparta-32;‹stanbul-34;‹zmir-35;Kahramanmaraﬂ-46;Karabük-78;Karaman-70;Kars-36;Kastamonu-37;Kayseri-38;Kilis-79;K›r›kkale-71;K›rklareli-39;K›rﬂehir-40;Kocaeli-41;Konya-42;Kütahya-43;Malatya-44;Manisa-45;Mardin-47;Mersin-33;Mu€la-48;Muﬂ-49;Nevﬂehir-50;Ni€de-51;Ordu-52;Osmaniye-80;Rize-53;Sakarya-54;Samsun-55;ﬁanl›urfa-63;Siirt-56;Sinop-57;ﬁ›rnak-73;Sivas-58;Tekirda€-59;Tokat-60;Trabzon-61;Tunceli-62;Uﬂak-64;Van-65;Yalova-77;Yozgat-66;Zonguldak-67
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen;30--34;2016;6118;1074;463;4769;256;133;3079;2511;206;47;1300;881;69;3731;52;125;1553;2162;121;108;2785;380;67;368;672;17254;213;535;1407;161;2006;474;5062;243;82;2213;2868;1189;177;25330;6164;1309;78;98;1090;186;1036;195;158;295;167;1710;1624;213;825;1709;4716;5094;679;3070;132;286;680;705;164;708;1445;18086;2245;136;3935;365;1355;666;317;78;197;9940;250;291;254
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen;30--34;2017;6273;1095;444;4993;264;157;3240;2418;239;47;1309;900;67;3891;46;124;1651;2277;115;103;2961;377;68;366;685;17492;201;562;1493;207;2148;503;5452;238;88;2353;3006;1234;174;26362;6169;1308;85;113;1174;216;999;232;154;296;166;1837;1672;198;837;1688;5170;5206;721;3305;146;286;613;717;141;687;1355;18965;2338;122;3865;378;1423;624;332;62;192;10014;275;292;252
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen;35--39;2016;5452;1013;355;3707;237;112;2454;2112;111;74;1187;807;69;4017;44;99;1512;1983;71;75;2224;342;66;261;622;15071;167;426;1644;213;1960;362;3757;251;84;2456;2600;1023;126;17841;5379;1302;77;62;719;190;839;170;115;231;146;1403;1290;197;923;1604;4445;4536;556;2919;79;283;746;559;185;548;1402;13408;2161;127;3966;333;1130;586;333;52;170;9053;204;245;215
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen;35--39;2017;5527;952;362;3897;216;111;2457;2146;112;67;1163;746;67;4274;39;106;1558;2149;81;73;2317;339;63;242;652;16246;161;436;1529;213;1954;374;3656;245;69;2692;2580;1028;132;18279;5330;1236;76;64;699;180;811;165;115;239;149;1448;1295;174;886;1573;4605;4522;549;2954;76;283;686;552;193;534;1285;14175;2262;135;4430;322;1258;563;326;49;173;9467;196;237;206
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen;40--44;2016;4669;1224;556;2876;315;134;2362;2181;112;69;1139;870;83;3027;69;84;1371;1677;79;97;2054;310;68;327;652;12472;216;432;2179;200;1853;369;3567;349;125;1474;2772;860;150;14857;4948;1601;63;61;542;203;945;133;112;233;142;1410;1369;233;1058;1609;4019;3864;535;2302;127;370;890;554;235;589;1494;11138;1520;108;2833;474;1132;816;433;66;161;8065;203;304;255
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen;40--44;2017;4499;1125;459;2696;278;107;2155;1954;98;64;1080;837;76;3073;52;69;1335;1548;63;81;1969;284;77;282;604;12496;189;422;1919;196;1735;347;3393;279;117;1617;2493;818;138;13981;4586;1410;56;52;512;182;845;139;95;222;130;1305;1225;224;966;1549;4031;3793;521;2299;111;332;787;501;201;568;1315;11267;1517;107;2935;387;1084;705;356;66;154;7376;210;267;209
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen;45--49;2016;4507;1587;904;2070;436;198;3188;2627;113;111;1285;1048;247;2812;99;98;1256;1526;121;148;2381;411;108;530;843;10901;321;480;2351;223;1717;390;4109;591;158;1097;3953;660;220;15819;5769;2368;123;96;490;351;1305;228;159;257;175;1648;1886;358;1318;1873;3142;4111;632;1780;181;484;1243;605;423;683;2238;9440;1337;153;2186;741;1109;1138;751;91;252;5606;209;430;629
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen;45--49;2017;4665;1574;862;2348;443;177;3169;2650;126;111;1255;1012;209;3040;82;113;1395;1668;114;127;2432;388;98;500;819;11995;320;510;2473;256;1835;388;4098;570;148;1205;3761;760;188;16087;5799;2310;113;101;521;337;1253;218;147;267;171;1664;1814;312;1339;1840;3541;4112;598;1954;178;476;1185;617;365;687;2153;10064;1422;143;2412;723;1199;1103;686;78;237;6494;217;401;529
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen;50--54;2016;5962;2057;1595;2756;894;497;5881;4456;225;270;2255;1953;637;2726;226;164;1747;1928;295;333;4295;618;258;1219;1385;10936;808;711;3741;538;2704;739;5909;1508;406;1256;6689;918;439;25131;9097;3495;357;180;808;892;2507;403;386;377;332;3148;3519;986;2183;3179;3164;5532;1019;2144;427;792;3284;1036;1035;1417;5116;10643;1502;344;2117;1571;1651;2369;2175;188;579;7636;333;938;1431
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen;50--54;2017;5481;1979;1392;2502;801;429;5135;3882;186;218;1999;1692;560;2796;157;140;1678;1864;266;291;3824;554;223;1019;1169;10709;671;650;3323;466;2372;628;5479;1239;328;1297;6079;831;372;22411;8089;3196;272;154;697;760;2202;376;344;375;311;2744;3002;788;1943;2874;3159;5112;930;2003;340;698;2762;945;880;1245;4349;10332;1477;292;2221;1365;1565;2075;1833;158;493;7164;307;837;1208
