eğitim düzeyi,Yaş Aralığı,Yıl,Adana-1,Adıyaman-2,Afyonkarahisar-3,Ağrı-4,Aksaray-68,Amasya-5,Ankara-6,Antalya-7,Ardahan-75,Artvin-8,Aydın-9,Balıkesir-10,Bartın-74,Batman-72,Bayburt-69,Bilecik-11,Bingöl-12,Bitlis-13,Bolu-14,Burdur-15,Bursa-16,Çanakkale-17,Çankırı-18,Çorum-19,Denizli-20,Diyarbakır-21,Düzce-81,Edirne-22,Elazığ-23,Erzincan-24,Erzurum-25,Eskişehir-26,Gaziantep-27,Giresun-28,Gümüşhane-29,Hakkari-30,Hatay-31,Iğdır-76,Isparta-32,İstanbul-34,İzmir-35,Kahramanmaraş-46,Karabük-78,Karaman-70,Kars-36,Kastamonu-37,Kayseri-38,Kilis-79,Kırıkkale-71,Kırklareli-39,Kırşehir-40,Kocaeli-41,Konya-42,Kütahya-43,Malatya-44,Manisa-45,Mardin-47,Mersin-33,Muğla-48,Muş-49,Nevşehir-50,Niğde-51,Ordu-52,Osmaniye-80,Rize-53,Sakarya-54,Samsun-55,Şanlıurfa-63,Siirt-56,Sinop-57,Şırnak-73,Sivas-58,Tekirdağ-59,Tokat-60,Trabzon-61,Tunceli-62,Uşak-64,Van-65,Yalova-77,Yozgat-66,Zonguldak-67
ilkokul,60--64,2017,42938,8022,20716,4344,8594,10725,94987,47794,2199,5233,34773,42995,7142,3309,1751,6936,2808,2891,9671,9645,68500,20272,6644,16365,28819,10248,9664,16696,8796,5108,12052,23176,22577,13067,3849,1381,27590,2027,13563,241325,106134,17220,7482,6894,3905,14852,29093,1896,7119,13828,6765,35051,55231,20753,14210,47333,5005,38849,25434,3209,8175,7783,19645,9479,9111,26369,33980,10991,2126,8111,2176,14979,25211,17626,19456,1800,10938,7443,6143,12653,19246
ilkokul,65+,2017,66752,11848,41185,4972,14165,23506,174448,82968,4915,13307,66542,91808,11267,4641,3410,15672,4050,3978,20454,22733,126124,44486,14516,29964,55589,14047,15856,33356,15637,10935,22658,53864,34313,22610,7029,1679,39091,3191,28629,410516,217947,27322,14128,13723,7501,27409,50611,3702,14396,29238,11971,59328,101576,35848,24576,83109,7958,67719,57870,3811,17732,16115,30267,15020,18314,47449,57047,14846,2766,18740,2261,27398,45302,31448,33345,3712,20075,9471,13565,24797,29725
Ortaokul,6--13,2017,1,3,1,7,,,3,,,,,1,,2,,,10,5,,,,,,,,10,,,4,1,13,,2,,,24,,4,,11,2,1,,,7,1,,,,1,,,,,,,6,1,1,7,,1,,2,,1,,7,2,,9,,,,,,,49,,,
Ortaokul,14--17,2017,90837,29698,27568,23575,16087,13048,205934,84791,4375,6071,36905,40370,7111,29593,3221,7580,11614,15169,10417,8892,110158,15499,6072,20092,37545,77867,15735,10914,24874,8619,31879,28706,89015,17141,5339,13237,71064,9493,14963,540836,141670,52537,8460,10147,12823,12155,58827,5669,11337,10707,9172,75516,86335,19628,35453,50633,38542,71720,30388,17370,11570,14445,31377,23352,13340,40586,54426,83514,14613,6758,24437,26259,34770,25497,31207,2113,12747,49630,8645,17186,23044
Ortaokul,18--21,2017,17284,6289,4343,9552,2195,1961,28093,14764,913,862,6061,6095,807,8188,458,1215,2863,4491,1347,1592,16809,2581,1097,3661,6359,21383,2279,1941,4091,1500,6796,4199,18892,2017,758,4050,10176,2467,2603,98145,24614,10825,974,1731,3112,1540,9393,1146,1561,1661,1254,12204,13026,2786,5936,8126,8733,13365,4653,5869,1486,2549,3852,5507,2041,5514,7225,29799,3937,1062,9153,4409,6131,4109,4270,496,1923,15630,1421,3130,2503
Ortaokul,22--24,2017,246,70,33,157,15,15,204,116,8,7,36,48,4,177,8,12,72,97,10,2,194,23,7,19,33,335,34,14,58,19,78,25,391,8,4,91,130,25,17,1729,230,111,8,9,34,21,74,18,24,17,13,116,89,7,80,48,137,197,28,128,8,11,23,56,8,45,56,690,68,11,182,30,80,42,44,1,10,282,12,20,17
Ortaokul,25--29,2017,201,41,14,55,10,7,190,111,3,4,34,17,7,104,1,7,30,37,4,3,126,10,5,10,32,207,11,12,34,9,30,22,264,10,3,24,85,17,7,1054,201,81,,2,24,5,42,10,6,6,5,78,41,5,35,39,92,113,34,54,6,14,19,37,6,24,31,329,26,7,77,13,67,28,13,2,12,136,20,7,7
Ortaokul,30--34,2017,7595,2324,2644,1001,1583,1200,18618,9277,329,490,3593,3734,782,1479,214,723,825,964,971,808,11667,1670,599,1756,4027,4210,1360,1323,1939,662,2158,2251,6927,1399,451,604,6088,492,1401,56981,14504,4364,740,946,842,1199,5047,458,864,1205,858,8034,7404,2081,2728,5243,2121,5776,3461,981,1196,1364,2590,2043,1054,3381,4105,4358,656,718,1199,2206,4674,1997,2349,200,1522,2894,761,1281,2334
Ortaokul,35--39,2017,21870,6536,7547,3178,4829,3527,52898,25901,962,1685,10220,11875,2097,4695,673,2502,2773,2902,2949,2639,35673,5029,1746,5373,11611,12892,4019,3845,5734,2087,6126,7717,18897,4172,1513,1871,16670,1556,3939,169566,44082,12632,2393,2513,2649,3493,14150,1387,2932,3598,2376,23482,19478,6401,7829,14559,5924,16311,9836,2875,3215,3542,8068,6017,3450,11160,12309,10861,2027,1936,2972,6343,12890,5970,7348,797,4330,7871,2422,3800,6704
Ortaokul,40--44,2017,20425,5264,6404,2435,3853,3239,49873,22400,971,1701,8867,11309,1874,3552,685,2299,2148,2295,2627,2590,30645,4772,1573,4869,9540,9692,3519,3929,5370,2137,5621,8050,15356,4098,1469,1253,13889,1243,3781,149196,39180,10415,2388,2236,2238,3067,12492,1253,2834,3447,2431,20013,16337,5683,7833,12741,4743,15879,8648,2107,2956,3068,7468,5304,3696,10073,10917,7714,1621,1831,1805,5632,10750,5632,6654,762,3495,5316,2416,3618,5801
Ortaokul,45--49,2017,20025,4555,6380,1782,3296,3117,50752,20345,913,2101,9023,11177,1636,2866,671,2273,1639,1868,2579,2557,27914,4845,1758,4291,9229,7560,3192,4013,5375,2143,5550,8380,12902,4193,1477,872,12620,1133,3923,136416,38430,9525,2549,2198,2029,2935,11889,1183,3408,3806,2473,18078,15616,5450,7865,12139,3838,15646,8590,1618,2927,3143,7265,5298,4096,9455,10236,6159,1317,1729,1288,5575,9694,5459,6768,772,3170,4157,2427,3659,5558
Ortaokul,50--54,2017,16961,3653,5258,1447,2707,2906,44474,16328,811,1919,7574,9739,1251,2112,590,1950,1196,1437,2009,2258,23201,4140,1685,3912,7249,5786,2494,3711,4363,1885,4669,7806,9816,4220,1308,697,10566,932,3451,107268,32804,7219,2214,1763,1762,2646,9614,1049,3517,3196,2242,15029,13279,4304,6892,9640,2694,13151,6745,1218,2439,2724,6928,4267,3565,7486,9325,5059,1031,1576,932,4809,7573,4835,6338,643,2595,3247,2229,3267,4671
Ortaokul,55--59,2017,11081,1995,3498,892,1575,1909,29581,10292,496,1311,5570,6898,890,1130,420,1428,683,792,1427,1534,16795,2827,1153,2539,4702,3271,1661,2546,2783,1281,2908,5670,6089,2923,820,429,6292,624,2402,70141,23888,4535,1503,1084,1068,1994,6241,689,2161,2382,1369,9771,8854,2859,4203,6062,1503,8501,4364,800,1596,1690,3865,2551,2232,5259,6167,2746,564,1210,513,3111,5125,3096,4232,471,1676,1685,1803,2031,3355
Ortaokul,60--64,2017,8288,1175,2350,587,1016,1419,20890,7369,349,885,4187,5386,618,799,254,922,419,574,1095,1002,13967,2061,992,1836,3208,1944,1138,1954,2001,824,2016,4256,3711,2227,604,272,4052,454,1771,48941,19458,2860,1071,657,727,1734,4568,389,1666,1825,923,7009,5796,2205,3047,3916,911,6437,3211,487,1102,1062,2894,1820,1344,3662,4389,1677,412,999,303,2285,3909,1988,3224,312,1281,1105,1508,1404,2373
Ortaokul,65+,2017,9221,1124,2512,454,949,1670,30825,8675,385,918,5335,8033,658,652,222,901,377,531,1190,1080,19250,2572,1205,1891,3329,1966,1161,2051,2303,1057,2582,5713,3854,2114,469,223,3900,393,1991,74741,30988,2424,1096,697,706,1852,4397,467,1992,2182,933,7926,6578,1752,3316,4310,1008,7773,4512,384,1118,1146,2812,1799,1268,3774,5032,1562,448,1190,270,2537,5758,2162,3413,376,1180,1060,2408,1523,2265
Lise,14--17,2017,800,491,278,549,192,105,1062,570,119,53,209,217,58,576,106,46,321,380,86,90,450,104,52,141,208,1178,146,63,479,167,682,193,856,158,103,669,694,241,126,3216,600,654,78,79,310,137,450,115,105,67,78,434,870,116,482,295,876,616,168,420,125,210,178,225,127,271,496,1276,331,59,571,235,173,311,370,40,119,1529,49,197,135
Lise,18--21,2017,74594,24259,29969,13748,16593,14713,233689,78922,3905,7668,37925,43961,8882,19398,7520,11782,11550,10470,19286,15944,100363,26730,8574,18865,41858,51221,18465,21887,28096,15761,38952,43090,63273,21059,11544,10931,51452,6313,26105,522410,147636,39044,18659,10129,11246,17541,56585,6254,17444,16167,11841,68975,96191,26117,36172,48219,25151,58849,31300,10708,13158,16865,26672,19115,15686,44114,50557,46518,11958,7629,15700,31509,31801,26248,40214,3875,16789,32245,9768,16294,25368
Lise,22--24,2017,33387,9994,10900,6702,5942,5416,107956,34757,1776,3138,16155,17863,3206,8376,2757,5052,6210,5265,8005,5112,47050,10543,3477,8003,17542,25513,7275,8114,13146,5973,16859,21746,27107,7737,4723,7939,20364,2802,9347,240943,71924,15565,7788,3829,4530,6362,24257,2529,6310,6418,4637,32199,35726,10400,15842,20501,11238,26428,14200,5674,4663,6072,10621,8181,6687,18496,19998,20474,5568,2869,8892,12030,16052,9482,16157,2985,5701,15228,4013,6195,9544
Lise,25--29,2017,38428,9666,11684,6272,6203,6025,115239,45703,1526,3537,17778,20444,3022,9435,1645,5349,6211,5541,7084,4459,62206,9220,3635,8459,19643,28258,8525,8200,10458,4736,13132,20554,29603,7880,3202,9122,24071,2803,8579,290647,83760,18637,4530,3880,4105,6241,27519,2207,6123,7925,4590,42378,32141,11456,14433,25446,12976,30996,16800,5546,4846,5531,13280,9397,6956,21965,22579,20277,5224,2999,9794,10987,23211,8918,16020,2961,6282,15551,4504,7621,11247
Lise,30--34,2017,47501,10961,12674,4424,6615,6766,133766,55658,1368,3729,19795,22894,3379,8297,1393,5973,4723,4460,6768,4579,71893,9908,3563,9237,22075,24433,8748,8023,11284,4696,12401,21932,31726,8384,3251,4530,27491,2713,9426,341984,96478,21521,4456,4557,3524,6541,32833,1884,6745,8447,4845,49391,36157,12336,16682,27442,11613,35973,19547,4356,5808,5431,14258,11253,7474,22931,23949,18691,3911,3165,5595,11915,26337,9793,19095,2079,7223,12968,5172,8171,13731
Lise,35--39,2017,51774,10177,12832,4289,6489,6926,146752,60444,1550,4010,21746,25490,3702,8142,1220,6033,4441,4206,6927,4785,78207,11003,3682,9595,23746,21809,8782,8904,11425,4792,12501,23020,29395,8855,2994,3937,26974,2623,9918,376111,105966,21028,5027,4426,3848,6733,33350,1801,6762,9687,5060,55157,36139,11778,17692,26967,9931,37235,21945,4120,6198,5582,14774,12055,7590,24747,25697,16486,3365,3230,4321,12416,28845,10563,19546,2070,6940,11580,6022,7789,14729
Lise,40--44,2017,41022,7257,9163,2994,4661,5306,118506,49548,1260,3561,17696,21388,2939,5466,877,4382,2927,2799,5322,3567,60792,8516,2857,7110,17654,15683,6258,7281,8992,3547,9753,18971,21005,6925,2235,2220,19909,1976,7773,299225,87281,14567,4467,3253,3252,4725,23137,1221,5659,7788,3879,41614,26156,9238,13687,19682,6544,29617,18348,2754,4792,4330,12149,9602,6375,18517,20569,11199,2174,2406,2146,9935,21143,8259,15841,1523,5603,7805,4937,5986,11570
Lise,45--49,2017,29921,4721,6821,1813,3129,3816,89704,38077,945,3063,14140,17568,1733,3699,633,3272,1867,1937,3770,2874,45954,6836,2061,4769,13159,10071,4421,5861,6334,2638,6972,14768,13550,5504,1686,1315,14059,1499,5898,227039,68435,8880,3166,2201,2348,3290,16571,931,4751,6338,3054,28778,19124,6373,9496,14651,4336,23177,14340,1666,3437,3317,9151,6883,5668,13844,15239,6901,1473,1848,1215,7442,15837,6147,12787,1053,4166,4909,4097,4154,7419
Lise,50--54,2017,26845,3851,5673,1524,2162,3428,72813,30058,844,2912,12107,15343,1365,2891,557,2443,1562,1545,3050,2661,35375,6544,1867,3903,10843,7981,3566,5328,5730,2151,5597,12043,10288,5510,1546,964,13091,1176,4877,173457,57468,6954,2482,1797,2212,3021,12606,845,4185,5277,2942,22024,15709,5315,8487,12498,3553,21399,12613,1500,2936,2881,8921,5948,4878,10117,13594,5501,1282,1958,938,6722,11589,5428,11262,972,3458,3930,3617,3803,6204
Lise,55--59,2017,21427,2591,4652,1059,1571,2844,59851,22815,666,2421,11139,14082,1229,1656,386,1995,946,970,2366,2112,28582,5388,1768,3120,8210,5248,2706,4630,5151,1682,4061,10473,7519,4491,1136,616,10402,907,4022,133077,50613,5041,2147,1365,1605,2836,9761,689,3460,4572,2238,16549,12892,4237,6956,10001,2301,17482,10787,950,2314,2315,6361,4490,3531,7794,11038,3949,760,1670,575,5171,9080,4484,8724,856,3059,2578,3264,2603,6028
Lise,60--64,2017,12780,1286,2753,586,844,1522,37091,13335,397,1546,7090,8710,741,1027,242,886,509,554,1368,1072,16750,3082,1033,1761,4571,2494,1501,2521,3047,825,2450,5906,4238,2582,534,350,5514,475,2317,76996,32033,2857,1279,745,871,1487,5416,330,2003,2470,1133,9970,7336,2044,3662,4980,1094,10828,6773,539,1190,1242,3649,2528,1507,4736,6304,1933,409,926,321,2944,5405,2513,4766,509,1651,1463,1927,1309,3574
Lise,65+,2017,11873,1098,2382,427,744,1489,47197,14586,336,1232,7489,11230,629,863,204,826,519,410,1333,953,16380,3683,1073,1628,4064,2545,1239,2302,2713,787,2383,6543,3685,1982,514,361,4554,335,2424,106895,45128,2153,1230,613,809,1432,5081,295,1638,2172,856,10227,6856,1973,3237,4725,1125,11004,8374,390,1018,1206,3252,1866,1185,4147,5678,1564,428,1042,297,2900,4935,2019,3884,392,1396,1164,2699,1270,3125
Yüksekokul Veya Fakülte,18--21,2017,5278,1633,1663,854,865,901,11213,5249,285,463,2643,3156,531,1292,273,849,606,773,673,999,6273,1586,488,1075,2305,2780,951,990,1558,928,1537,1693,3804,1710,730,753,4070,469,1546,46150,9645,2573,844,785,735,995,2612,372,734,1181,605,5224,5479,1606,1567,4006,1742,4560,2274,639,841,777,2348,1484,732,2418,3818,2381,822,594,970,1792,2272,1739,1991,284,878,1867,677,987,1512
Yüksekokul Veya Fakülte,22--24,2017,24986,7989,7801,4895,4198,4240,79065,26417,1265,2408,12587,14268,2139,6764,1307,3647,3612,4075,4276,4026,34222,7784,2445,5558,12537,16430,5131,5373,8475,4540,9832,11992,19242,6696,3443,3984,16970,2286,6393,205875,52798,12097,4053,3243,3674,4774,16234,1688,3614,5233,3328,24700,26978,8319,10242,16603,8361,20504,10689,3770,3387,3903,9618,6957,4829,11689,17604,15173,3912,2398,6037,8917,11271,8071,11464,1604,4217,9757,3030,5139,7142
