olay,Yıl,Adana-1,Adıyaman-2,Afyonkarahisar-3,Ağrı-4,Aksaray-68,Amasya-5,Ankara-6,Antalya-7,Ardahan-75,Artvin-8,Aydın-9,Balıkesir-10,Bartın-74,Batman-72,Bayburt-69,Bilecik-11,Bingöl-12,Bitlis-13,Bolu-14,Burdur-15,Bursa-16,Çanakkale-17,Çankırı-18,Çorum-19,Denizli-20,Diyarbakır-21,Düzce-81,Edirne-22,Elazığ-23,Erzincan-24,Erzurum-25,Eskişehir-26,Gaziantep-27,Giresun-28,Gümüşhane-29,Hakkari-30,Hatay-31,Iğdır-76,Isparta-32,İstanbul-34,İzmir-35,Kahramanmaraş-46,Karabük-78,Karaman-70,Kars-36,Kastamonu-37,Kayseri-38,Kilis-79,Kırıkkale-71,Kırklareli-39,Kırşehir-40,Kocaeli-41,Konya-42,Kütahya-43,Malatya-44,Manisa-45,Mardin-47,Mersin-33,Muğla-48,Muş-49,Nevşehir-50,Niğde-51,Ordu-52,Osmaniye-80,Rize-53,Sakarya-54,Samsun-55,Şanlıurfa-63,Siirt-56,Sinop-57,Şırnak-73,Sivas-58,Tekirdağ-59,Tokat-60,Trabzon-61,Tunceli-62,Uşak-64,Van-65,Yalova-77,Yozgat-66,Zonguldak-67
Bebek Ölüm Hızı (Binde),2016,10,"13,2","9,1","14,2","8,2","8,6","6,9","7,9","10,7","5,5","7,9","6,6","9,8","12,5","6,6","7,8","18,4","12,4","6,9","9,2","8,5","6,3","12,6","6,9","9,2","10,7",10,"6,6","12,3","6,8","12,5","8,7","14,1","6,5","5,7","15,2","11,1","10,9","9,7","8,1","7,2","12,2","5,5","8,6","12,7","6,3","8,6","13,3","12,5","6,1","6,6","7,3","9,5","10,3","10,8","11,4","13,5","9,5","9,2",15,"6,1","9,1","7,7","12,6","8,9","7,9","7,6","17,9","13,9","8,5","16,1","9,1","6,7","10,7","6,9","3,1",8,"13,9",7,"8,4","10,1"
Bebek Ölüm Hızı (Binde),2017,9,"10,9","8,6","12,9","9,2","5,3","7,1","7,4","9,9",10,"7,3","7,3","6,3","11,7","8,8","10,2","12,5","14,2","5,6","10,4","6,8","6,4","4,6","6,3","7,8","9,8","6,9","5,8","10,9","8,1","12,5","5,2","12,8","8,1","6,4","16,7","10,6","9,3","8,5","7,4","6,8","10,3","5,2",8,"7,8","7,3","8,7","17,2","9,4","8,6","8,4","7,2","9,6","9,8","9,2",11,"13,6","9,3","6,5","14,9",10,"8,1","10,1","9,1","9,6","9,4","7,3","14,4","12,8","6,7",13,"9,1","8,3","8,8","8,8","10,8","5,8","11,9","9,9","7,3","9,9"
