eğitim düzeyi,Yaş Aralığı,Yıl,Adana-1,Adıyaman-2,Afyonkarahisar-3,Ağrı-4,Aksaray-68,Amasya-5,Ankara-6,Antalya-7,Ardahan-75,Artvin-8,Aydın-9,Balıkesir-10,Bartın-74,Batman-72,Bayburt-69,Bilecik-11,Bingöl-12,Bitlis-13,Bolu-14,Burdur-15,Bursa-16,Çanakkale-17,Çankırı-18,Çorum-19,Denizli-20,Diyarbakır-21,Düzce-81,Edirne-22,Elazığ-23,Erzincan-24,Erzurum-25,Eskişehir-26,Gaziantep-27,Giresun-28,Gümüşhane-29,Hakkari-30,Hatay-31,Iğdır-76,Isparta-32,İstanbul-34,İzmir-35,Kahramanmaraş-46,Karabük-78,Karaman-70,Kars-36,Kastamonu-37,Kayseri-38,Kilis-79,Kırıkkale-71,Kırklareli-39,Kırşehir-40,Kocaeli-41,Konya-42,Kütahya-43,Malatya-44,Manisa-45,Mardin-47,Mersin-33,Muğla-48,Muş-49,Nevşehir-50,Niğde-51,Ordu-52,Osmaniye-80,Rize-53,Sakarya-54,Samsun-55,Şanlıurfa-63,Siirt-56,Sinop-57,Şırnak-73,Sivas-58,Tekirdağ-59,Tokat-60,Trabzon-61,Tunceli-62,Uşak-64,Van-65,Yalova-77,Yozgat-66,Zonguldak-67
ilkokul,22--24,2016,930,164,61,444,49,22,559,388,10,10,121,98,7,575,10,29,130,207,14,7,531,53,29,34,75,1096,30,47,103,24,190,70,939,25,15,129,353,70,23,6953,813,209,7,15,68,34,151,23,22,32,13,264,278,18,154,188,454,502,82,245,26,34,39,126,20,109,101,1715,209,8,358,66,213,95,68,14,25,665,61,28,21
ilkokul,25--29,2016,4416,1217,1094,1995,676,184,5292,2848,157,79,1337,1035,110,1698,116,194,695,929,175,126,3507,367,140,486,901,4109,290,390,1108,252,1823,547,5813,343,151,524,3102,405,263,28881,5364,2111,115,181,753,339,1827,194,190,253,168,2331,3185,363,1188,1903,2248,2895,877,1145,368,737,724,678,170,947,1529,6132,747,162,1323,689,1409,778,451,42,289,3314,266,604,343
ilkokul,30--34,2016,31916,10099,12580,9937,7591,3352,52383,32252,1445,1017,15489,14336,2076,7606,1119,2177,4098,4763,2928,2578,35461,5902,1604,6963,12970,24089,3932,3568,8180,2096,12565,6720,40389,4000,1666,3458,28146,2667,3472,227238,54424,19839,1734,3474,5290,5062,19286,1683,1912,2794,1964,23231,45167,7791,9421,24834,12260,25472,12838,5777,3980,6246,10292,6431,2383,12214,18428,30352,3935,2317,6749,7591,13000,8273,6766,570,4451,18792,2127,5890,7379
ilkokul,35--39,2016,41150,13474,15724,12151,9668,4968,69838,46520,2222,1630,20697,20795,2800,10146,1479,3093,6197,6146,4407,4104,51296,9058,2263,10159,19616,31104,6234,5509,11125,3136,15645,9665,48100,6283,2381,5209,39597,3853,5452,304675,76065,25006,2502,4647,6835,6898,25120,2355,2515,4532,2976,31265,52581,10009,12957,34468,15982,36260,18957,7265,5091,7752,15138,8715,3958,18140,27395,34127,4985,3097,8642,9974,17552,11147,10173,1022,6263,21151,3016,7853,10079
ilkokul,40--44,2016,40723,12564,16619,10325,9926,5810,78903,51019,2396,2268,22874,25782,3326,7676,1830,3519,5248,5440,5228,5363,55250,11148,2652,11300,22358,25236,7645,7218,11506,3686,15367,11590,41931,7765,3059,3725,40747,3345,6701,300741,82948,24095,3479,5213,6186,7527,27599,2084,3335,5682,3732,32554,53086,11589,14030,37874,13856,39825,21736,5921,5483,7887,16917,9212,5170,20257,28544,29066,4179,3690,6538,10958,17934,12711,12463,1216,7091,18459,3506,9275,12515
ilkokul,45--49,2016,38536,10911,18095,6150,9064,6759,82648,49838,1819,2616,24968,31001,4377,5634,1696,4406,3919,4025,5937,6210,57263,13381,3406,12362,24159,18632,7871,9063,9685,3716,12079,14409,33088,8683,2992,2471,36539,2241,8283,258716,81866,22014,4531,6036,4392,8129,26442,1974,4288,6817,4538,30523,54668,14221,12600,40754,9647,38993,22652,4335,6487,7769,16285,9300,6557,21131,29000,21386,3041,3750,4464,10930,18279,12533,13582,1227,8081,11258,3791,9414,14712
ilkokul,50--54,2016,46842,11204,22400,7692,11311,10394,108812,59082,2626,4102,32621,40074,6185,5588,2243,5962,4289,4452,8609,8560,71593,17381,5442,17663,30281,19230,10671,13630,11643,4951,15661,20624,36518,12678,4226,2815,40739,2739,11556,307514,103842,22769,6234,7122,5827,12157,33143,2416,6300,9988,6617,38561,63860,20505,15911,50194,8996,46223,27859,4872,8554,9482,23838,10882,8245,27169,41918,22919,3140,6506,4115,14516,23857,18291,20357,1713,11129,14441,5050,13467,19828
ilkokul,55-59,2016,43005,8446,21902,4501,9087,10384,100398,51597,1978,4109,35565,44093,7027,3557,1923,6936,2894,2847,8967,9234,72016,20064,5512,16309,30548,11773,10209,16842,9302,4655,11138,22549,25991,13262,3665,1699,31163,2022,12929,264925,106786,17726,6961,6699,4274,13396,31040,1843,6822,12913,6972,36188,56968,21746,13093,49672,5613,40218,26201,3102,8364,8166,20442,9312,8739,26972,34958,13773,2138,7158,2287,14628,25614,16830,19331,1514,11191,8575,5602,12066,21047
ilkokul,60--64,2016,43476,7972,21356,4325,8539,11217,95132,47601,2279,5437,34347,43793,7163,3337,2214,6956,2752,2898,9944,9861,68096,20659,6925,16530,29483,10156,9747,16863,8684,5174,12368,24225,22646,12787,3922,1326,26976,2058,14027,241673,107490,17201,7776,7093,3820,14898,28931,1944,7289,13914,6756,34842,56237,21183,14528,47777,4801,38991,25555,3190,8397,8109,19666,9735,9214,26522,34331,10702,2135,8335,2166,15111,24876,18096,19160,1869,11136,7224,5988,13102,19029
ilkokul,65+,2016,62301,10907,39548,4652,13348,22526,165755,78001,4790,13323,63180,87764,10557,4205,3693,15242,3796,3717,19568,21949,119564,42277,14217,28413,52573,12840,15139,31589,14911,10977,22125,51536,31846,22254,7071,1552,36460,2903,27414,387264,207979,25323,13258,13074,7390,26379,47811,3494,13715,27763,11346,55498,95982,33871,23250,78146,7449,63766,55220,3549,17052,15381,28699,13837,17924,44930,53914,13559,2560,18137,2015,27040,42349,29978,32204,3617,18976,8818,12971,23582,27839
Ortaokul,6--13,2016,162,113,39,323,20,12,152,87,21,6,33,22,3,179,8,1,168,181,13,8,72,14,5,14,15,484,31,4,73,11,186,14,162,17,4,422,111,166,13,765,109,155,4,12,148,24,50,12,6,8,6,89,104,12,71,53,294,158,35,224,11,26,32,33,16,46,57,440,132,12,216,30,54,46,61,3,9,877,9,37,18
Ortaokul,14--17,2016,115680,37924,33829,32231,20114,16214,259874,110942,5950,8093,47448,50873,8865,38879,4853,9553,15021,20088,13006,11244,143365,19939,7635,25548,47834,101820,19810,14490,31618,11079,41764,36066,114783,22678,7463,17457,90307,12509,18542,709736,184458,65702,10286,12982,16856,15320,73490,7188,13463,14193,11340,96037,109836,23785,44856,64190,50556,92529,38914,23404,14560,18118,41150,29590,17435,50604,68628,110856,19135,8739,33059,33718,44567,32592,40488,2874,15723,65905,11169,22009,29254
Ortaokul,18--21,2016,9804,3725,1970,6363,1097,1018,15891,9082,523,605,3590,3350,422,5086,321,695,1659,2798,723,816,10596,1508,495,2033,3724,13129,1249,1145,2164,751,3929,2377,10140,1374,521,2923,5338,1606,1185,66208,15389,5595,510,930,1793,939,4820,546,639,1002,630,6532,7351,1172,3282,4281,5283,8055,2895,3680,785,1196,2233,2818,1285,3014,3974,20573,2354,606,6211,2290,3723,2438,2545,250,891,10108,924,1476,1516
Ortaokul,22--24,2016,166,24,16,30,7,8,72,53,1,4,14,15,2,88,2,5,25,25,4,,98,7,2,10,12,126,6,5,16,8,30,12,242,2,1,13,57,4,6,731,107,61,1,3,10,7,39,10,7,5,2,57,32,4,21,27,53,116,8,30,6,6,7,30,4,21,18,261,15,1,47,12,48,20,5,,6,66,8,9,5
Ortaokul,25--29,2016,381,105,101,97,72,29,416,292,12,13,128,97,20,167,8,21,54,99,19,19,291,36,18,37,107,338,32,44,89,21,88,50,406,45,19,45,288,38,25,1999,470,247,7,25,64,25,136,33,32,38,27,208,202,31,112,156,180,248,97,101,37,59,71,78,38,73,155,416,62,27,103,66,172,78,49,7,49,261,30,37,45
Ortaokul,30--34,2016,15552,4829,5346,2068,3177,2319,37503,18819,576,1071,7272,7589,1398,3236,529,1467,1696,1985,1920,1626,23321,3327,1212,3660,8109,8745,2835,2600,3984,1311,4111,4654,14258,2844,945,1205,11726,875,2689,116738,29597,8527,1536,1950,1611,2345,10188,829,1827,2309,1767,15994,14786,4070,5522,10540,4116,11443,6937,1917,2333,2700,5198,4146,2198,6817,8264,8708,1459,1422,2474,4480,9134,3908,4897,434,3082,5693,1594,2758,4383
Ortaokul,35--39,2016,20548,6132,6929,2925,4307,3389,48952,23741,971,1591,9138,11051,1877,4418,757,2241,2588,2702,2701,2446,32429,4449,1639,5038,10348,11860,3710,3624,5449,1936,5789,7222,16965,3984,1522,1653,15650,1553,3829,155666,40328,11719,2219,2350,2435,3215,12485,1279,2852,3310,2276,20832,17699,6033,7502,13128,5639,15574,8736,2723,2988,3276,7662,5522,3362,10049,11304,9419,1925,1767,2556,5920,11183,5510,6826,768,3976,6907,2242,3578,6227
Ortaokul,40--44,2016,20300,5154,6286,2538,3768,3198,49844,21991,967,1778,8685,11088,1591,3475,813,2319,2013,2304,2605,2626,29696,4638,1574,4782,9208,9252,3382,3973,5424,2130,5700,7972,14641,4160,1594,1181,13336,1252,3844,147213,38565,10208,2352,2144,2345,2951,12321,1151,2924,3494,2421,18921,15783,5604,7824,12433,4548,15804,8559,1998,2955,3073,7645,5341,3788,9715,10636,7274,1632,1754,1708,5724,10275,5595,6596,804,3382,5319,2430,3660,5665
Ortaokul,45--49,2016,18680,4100,6015,1463,2793,2889,47168,18638,797,2032,8315,10660,1432,2442,744,2045,1396,1638,2319,2370,25323,4540,1654,3974,8538,6694,2725,3917,4876,1937,4986,8065,11481,4169,1369,751,11808,1014,3678,122578,35875,8562,2411,1968,1798,2679,10495,1051,3387,3671,2368,16175,14312,4921,7315,11240,3405,14456,7768,1443,2806,2822,6741,4902,3790,8446,9327,5527,1159,1523,1120,5041,8674,4924,6350,690,2918,3332,2165,3415,5231
Ortaokul,50--54,2016,16424,3484,5073,1521,2605,2813,43557,15542,810,1851,7178,9027,1062,2049,704,1852,1135,1407,1936,2128,22431,3811,1656,3784,6776,5625,2388,3360,4252,1844,4577,7524,9481,4088,1347,667,9956,923,3332,102831,31694,6800,2105,1629,1766,2557,9192,1018,3391,3039,2178,13966,12738,4054,6748,9012,2587,12666,6216,1242,2312,2641,6636,4022,3446,7039,8989,4855,989,1512,890,4650,7065,4575,6104,646,2510,3139,2115,3206,4516
Ortaokul,55-59,2016,10108,1683,3068,719,1397,1656,26502,9278,430,1175,4985,6344,743,967,441,1258,577,671,1252,1401,15458,2546,1048,2219,4120,2778,1485,2329,2465,1117,2432,5223,5342,2705,770,383,5509,570,2254,63498,22192,3939,1332,917,955,1779,5680,531,1963,2205,1257,8749,7694,2570,3698,5436,1304,7622,3852,674,1467,1439,3526,2192,1947,4897,5424,2383,505,1042,396,2839,4686,2697,3901,380,1553,1450,1660,1798,3074
Ortaokul,60--64,2016,7903,1102,2260,571,945,1399,20158,6835,321,806,3881,5109,570,765,307,848,367,549,1036,883,13508,1922,965,1794,2962,1816,1111,1816,1860,778,1960,4018,3512,2063,551,251,3736,433,1620,46600,18609,2665,1014,626,665,1676,4264,355,1617,1657,886,6332,5468,2083,2907,3563,857,6139,2964,488,1003,1013,2656,1795,1180,3302,4109,1560,413,988,303,2165,3709,1922,3057,300,1177,1018,1374,1371,2236
Ortaokul,65+,2016,8327,977,2280,405,833,1513,28657,7861,356,879,4790,7424,535,564,219,828,348,481,1035,1008,17607,2366,1091,1686,2875,1735,1031,1809,2123,953,2392,5248,3408,1954,452,205,3477,356,1847,70301,29111,2116,978,620,644,1666,3937,425,1787,1972,811,7171,5956,1505,3007,3937,906,7100,4148,357,1008,1044,2630,1574,1150,3437,4607,1359,383,1070,223,2324,5262,1939,3028,346,1065,923,2202,1359,1987
Lise,14--17,2016,9120,3111,3653,1172,1823,1638,18297,4812,310,365,2095,4490,726,2103,298,781,1239,1130,1107,1264,5038,1204,847,2573,3696,4540,1046,706,2767,943,2543,3054,6062,1370,549,903,5315,453,2273,19757,7627,6163,1335,1010,735,1421,6033,658,2117,623,1438,4152,7872,3281,3998,4926,2143,6446,2197,1127,1254,1914,2548,3280,854,3248,5081,4205,1003,568,883,2459,1593,2637,2095,153,1694,3093,352,2070,1774
Lise,18--21,2016,74131,24941,30422,13356,15538,14537,222007,73537,3940,7608,37622,42785,8777,18669,7525,11125,10365,10480,19419,15253,96824,25775,8618,18900,41148,49168,17712,20055,28792,13621,38318,41804,58010,21798,12022,10107,50812,5841,25605,497186,141566,39033,20450,10444,10279,18235,53105,6371,17394,16443,12324,66936,94590,27556,35458,47686,23343,57763,30468,10877,12639,16422,26392,19706,15812,43315,49666,43516,10835,7066,13588,31233,30978,26955,39394,3892,14529,30931,8995,15704,24038
Lise,22--24,2016,32856,9957,10736,6535,5659,5099,103388,33060,1690,3208,15450,17337,2980,8121,2744,4363,5802,5353,7744,4371,45357,9302,3128,7704,16555,25012,7071,7372,12493,5364,16101,20735,24647,7795,4580,6313,19861,2678,8518,236484,69033,15655,6901,3631,4377,6361,22769,2450,6270,6191,4422,31138,33211,10807,15330,19620,10705,25746,13417,5691,4413,5474,10414,8050,6653,18001,19383,19384,5091,2613,7440,11586,15508,9078,15655,2759,5199,15014,3935,6070,9531
Lise,25--29,2016,40927,10312,12328,6125,6508,6337,121390,47558,1478,3676,18202,21263,3183,9184,1870,5525,5974,5401,7130,4572,64909,9390,3532,8868,20379,27967,8854,8172,10772,4785,13454,21558,30401,8246,3522,7787,25607,2822,9106,307002,86489,19963,4369,4196,4305,6446,29505,2095,6414,8270,4684,43425,33541,12013,15174,26239,13021,32819,17115,5408,5083,5484,14137,9914,7189,22657,23756,20022,5016,3108,7949,11708,23560,9387,16855,2909,6675,15436,4632,8462,12275
Lise,30--34,2016,48461,10752,12459,4434,6502,6561,135465,55642,1384,3797,19646,22794,3293,8395,1512,5924,4607,4386,6652,4464,71831,9864,3493,9170,21553,23555,8503,8043,11227,4744,12418,22028,30600,8549,3360,4361,26801,2655,9388,349077,97114,21182,4535,4478,3455,6480,33082,1708,6703,8609,4801,49849,35597,12151,16816,26731,10903,35643,19533,4336,5871,5269,13950,11253,7393,22567,23416,18068,3891,3173,5184,12124,26185,9664,18903,2077,6885,12378,5243,8040,13880
Lise,35--39,2016,51541,9864,12753,4167,6360,6841,146414,59728,1567,4088,21267,25271,3656,7756,1368,5776,4266,4139,6867,4754,76364,10722,3676,9444,23107,21304,8560,8848,11204,4695,12439,22679,28859,8932,3136,3659,26858,2606,9896,375826,105113,20530,5054,4364,3922,6683,32189,1710,6847,9545,4985,53574,35237,11687,17540,25787,9611,36631,21638,4014,6111,5563,14955,11985,7602,23655,25328,15727,3274,3083,3743,12253,27683,10622,19243,2129,6968,10976,5871,7756,14806
Lise,40--44,2016,37783,6571,8168,2931,4269,4874,110062,45341,1213,3354,16176,19993,2549,5141,926,4014,2748,2694,4852,3285,56148,7702,2620,6409,15576,14346,5684,6628,8319,3290,9039,17723,19035,6567,2193,2043,17760,1909,7145,281174,81632,13039,4207,3011,3046,4315,20950,1084,5365,7181,3586,37919,23615,8354,12520,17752,5985,27566,16715,2625,4402,4004,11440,8765,5943,16786,18742,9992,2028,2213,1896,9354,19331,7656,14732,1390,5204,7398,4584,5472,10493
Lise,45--49,2016,27914,4185,6388,1569,2673,3540,82019,34326,837,2862,12918,16369,1484,3328,675,2919,1534,1714,3432,2626,42032,6402,1910,4215,12086,8862,3930,5633,5802,2378,6302,13590,12238,5343,1576,1076,13187,1303,5479,207293,63360,7889,2831,2024,2127,3084,14894,833,4500,6038,2948,25655,17408,5937,8732,13671,3884,21494,13099,1483,3128,3053,8458,6194,5212,12035,13825,6092,1371,1737,1006,7059,14323,5668,11580,950,3795,4152,3709,3827,6798
Lise,50--54,2016,27147,3739,5728,1641,2213,3531,73381,29376,864,3001,12094,15275,1359,2883,709,2349,1533,1588,2978,2703,34731,6363,1979,3946,10540,8061,3486,5287,5947,2117,5699,12145,10232,5704,1590,1003,13192,1199,4907,171708,57791,6935,2499,1840,2240,3149,12635,870,4275,5181,3001,21591,15911,5280,8809,12399,3597,21752,12350,1548,2934,2860,9016,5981,4781,9735,13583,5623,1283,2014,915,6751,11189,5455,11134,1066,3525,3962,3624,3857,6334
Lise,55-59,2016,19006,2218,4027,904,1367,2392,53574,19873,559,2097,9938,12645,1065,1432,383,1741,802,832,2072,1789,25855,4772,1484,2700,7033,4374,2278,4192,4587,1416,3495,9301,6598,4028,985,534,9043,804,3463,119722,45919,4354,1967,1174,1436,2466,8490,570,3058,4111,1894,14688,11077,3651,5953,8564,1940,15484,9682,808,1949,2051,5563,3858,3049,6918,9641,3345,635,1420,446,4537,8128,4005,7599,707,2641,2257,2847,2171,5572
Lise,60--64,2016,12007,1145,2586,543,800,1463,34593,12164,382,1439,6478,8060,676,985,278,774,453,488,1272,935,15213,2770,1023,1634,4135,2381,1368,2188,2788,765,2311,5389,3950,2396,541,327,4978,466,2187,71318,29515,2671,1193,690,810,1374,4984,310,1897,2184,1039,9057,6781,1897,3446,4499,987,10015,6145,497,1084,1154,3356,2399,1270,4242,5756,1730,398,867,312,2807,4780,2315,4244,454,1506,1310,1742,1261,3203
Lise,65+,2016,10306,971,2071,369,665,1302,43018,12859,315,1085,6619,10424,506,747,196,733,475,367,1166,835,14439,3314,946,1438,3485,2236,1029,2022,2397,690,2149,5861,3191,1769,467,332,3935,285,2166,99559,41751,1833,1048,524,740,1320,4478,271,1419,1892,744,9099,6033,1731,2844,4130,997,9824,7558,345,883,1066,2900,1540,1048,3595,4940,1375,389,948,255,2614,4308,1794,3428,369,1231,1048,2443,1081,2723
Yüksekokul Veya Fakülte,18--21,2016,4836,1637,1727,869,794,850,10218,4960,268,484,2311,2776,467,1183,223,619,574,739,717,829,6105,1364,527,1059,2297,2573,906,927,1495,897,1577,1600,3649,1674,788,731,3735,433,1263,40717,9051,2636,784,755,755,1168,2568,355,788,1061,568,4881,5026,1590,1536,3515,1637,4158,1971,639,705,855,2381,1506,740,2418,3671,2286,774,543,848,1536,1982,1728,1976,304,842,1682,610,1083,1386
